date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:52	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:52%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_continue_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_continue_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/24_exercise_it244.html)
11:54:53	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:53%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_break_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_break_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/24_exercise_it244.html)
11:54:54	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:54%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/25_exercise_case_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/25_exercise_case_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/25_exercise_it244.html)
11:54:55	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:55%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/25_exercise_select_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/25_exercise_select_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/25_exercise_it244.html)
11:54:56	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:56%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/25_exercise_here_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/25_exercise_here_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/25_exercise_it244.html)
11:54:57	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:57%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/midterm_directory_tree_it244.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/midterm_directory_tree_it244.jpg	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/midterm_answers_f17_it244.html)
11:54:58	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:58%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/images_it244/directory_family.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/images_it244/directory_family.jpg	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/14_class_notes_it244.html)
11:54:59	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:59%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/images_it244/directory_paths.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/images_it244/directory_paths.jpg	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/14_class_notes_it244.html)
11:55:00	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:55:00%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/images_it244/absolute_pathname.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/images_it244/absolute_pathname.jpg	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/14_class_notes_it244.html)
11:55:01	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:55:01%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/images_it244/relative_path_current_directory.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/images_it244/relative_path_current_directory.jpg	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/14_class_notes_it244.html)
